domain, index, method, duration (ms), median f
QAP, 7, ANW-HH, 600000, 4.4929368E7
QAP, 8, Adap-HH, 600000, 8163764.0
QAP, 8, FS-ILS, 600000, 8169250.0
QAP, 8, NR-FS-ILS, 600000, 8162592.0
QAP, 8, EPH, 600000, 8163304.0
QAP, 8, AA-HH, 600000, 8168990.0
QAP, 8, ANW-HH, 600000, 8321922.0
QAP, 9, Adap-HH, 600000, 273414.0
QAP, 9, FS-ILS, 600000, 273362.0
QAP, 9, NR-FS-ILS, 600000, 273336.0
QAP, 9, EPH, 600000, 273630.0
QAP, 9, AA-HH, 600000, 273512.0
QAP, 9, ANW-HH, 600000, 275644.0
MaxCut, 0, Adap-HH, 600000, -4.1175603E7
MaxCut, 0, FS-ILS, 600000, -4.1348693E7
MaxCut, 0, NR-FS-ILS, 600000, -4.1145032E7
MaxCut, 0, EPH, 600000, -4.0953212E7
MaxCut, 0, AA-HH, 600000, -4.0502841E7
MaxCut, 0, ANW-HH, 600000, -3.8772645E7
MaxCut, 1, Adap-HH, 600000, -2.69692927E8
MaxCut, 1, FS-ILS, 600000, -2.55265025E8
MaxCut, 1, NR-FS-ILS, 600000, -2.57764081E8
MaxCut, 1, EPH, 600000, -2.60608752E8
MaxCut, 1, AA-HH, 600000, -2.6315147E8
MaxCut, 1, ANW-HH, 600000, -2.58016734E8
MaxCut, 2, Adap-HH, 600000, -3044.0
MaxCut, 2, FS-ILS, 600000, -3041.0
MaxCut, 2, NR-FS-ILS, 600000, -3044.0
MaxCut, 2, EPH, 600000, -3023.0
MaxCut, 2, AA-HH, 600000, -3046.0
MaxCut, 2, ANW-HH, 600000, -2996.0
MaxCut, 3, Adap-HH, 600000, -3025.0
MaxCut, 3, FS-ILS, 600000, -3020.0
MaxCut, 3, NR-FS-ILS, 600000, -3025.0
MaxCut, 3, EPH, 600000, -3004.0
MaxCut, 3, AA-HH, 600000, -3033.0
MaxCut, 3, ANW-HH, 600000, -2976.0
MaxCut, 4, Adap-HH, 600000, -3026.0
MaxCut, 4, FS-ILS, 600000, -3026.0
MaxCut, 4, NR-FS-ILS, 600000, -3028.0
MaxCut, 4, EPH, 600000, -3004.0
MaxCut, 4, AA-HH, 600000, -3035.0
MaxCut, 4, ANW-HH, 600000, -2982.0
MaxCut, 5, Adap-HH, 600000, -13126.0
MaxCut, 5, FS-ILS, 600000, -13083.0
MaxCut, 5, NR-FS-ILS, 600000, -13091.0
MaxCut, 5, EPH, 600000, -13065.0
MaxCut, 5, AA-HH, 600000, -13177.0
MaxCut, 5, ANW-HH, 600000, -12964.0
MaxCut, 6, Adap-HH, 600000, -1314.0
MaxCut, 6, FS-ILS, 600000, -1302.0
MaxCut, 6, NR-FS-ILS, 600000, -1304.0
MaxCut, 6, EPH, 600000, -1206.0
MaxCut, 6, AA-HH, 600000, -1322.0
MaxCut, 6, ANW-HH, 600000, -1232.0
MaxCut, 7, Adap-HH, 600000, -9823.0
MaxCut, 7, FS-ILS, 600000, -9632.0
MaxCut, 7, NR-FS-ILS, 600000, -9668.0
MaxCut, 7, EPH, 600000, -9794.0
MaxCut, 7, AA-HH, 600000, -9878.0
MaxCut, 7, ANW-HH, 600000, -9657.0
MaxCut, 8, Adap-HH, 600000, -450.0
MaxCut, 8, FS-ILS, 600000, -450.0
MaxCut, 8, NR-FS-ILS, 600000, -450.0
MaxCut, 8, EPH, 600000, -430.0
MaxCut, 8, AA-HH, 600000, -454.0
MaxCut, 8, ANW-HH, 600000, -404.0
MaxCut, 9, Adap-HH, 600000, -2786.0
MaxCut, 9, FS-ILS, 600000, -2676.0
MaxCut, 9, NR-FS-ILS, 600000, -2680.0
MaxCut, 9, EPH, 600000, -2648.0
MaxCut, 9, AA-HH, 600000, -2814.0
MaxCut, 9, ANW-HH, 600000, -2578.0
